Player 1 Agent,Player 2 Agent,Score
CRP0,CRP0,18.776
CRP0,CRP1,7.303
CRP0,CRP2,7.037
CRP0,CRP3,5.087
CRP0,CRP4,3.540
CRP0,CYP0,10.789
CRP0,CYP1,11.711
CRP0,CYP2,12.160
CRP0,CYP3,11.994
CRP0,CYP4,11.184
CRP0,CGP0,10.922
CRP0,CGP1,11.835
CRP0,CGP2,11.747
CRP0,CGP3,12.264
CRP0,CGP4,11.619
CRP0,CWP0,9.866
CRP0,CWP1,11.332
CRP0,CWP2,11.414
CRP0,CWP3,11.701
CRP0,CWP4,11.178
CRP0,CBP0,10.430
CRP0,CBP1,10.803
CRP0,CBP2,11.268
CRP0,CBP3,11.465
CRP0,CBP4,10.898
CRP1,CRP0,7.817
CRP1,CRP1,19.710
CRP1,CRP2,4.553
CRP1,CRP3,3.581
CRP1,CRP4,2.703
CRP1,CYP0,11.467
CRP1,CYP1,10.571
CRP1,CYP2,11.514
CRP1,CYP3,12.547
CRP1,CYP4,11.505
CRP1,CGP0,11.332
CRP1,CGP1,11.319
CRP1,CGP2,12.236
CRP1,CGP3,13.090
CRP1,CGP4,12.465
CRP1,CWP0,11.341
CRP1,CWP1,10.368
CRP1,CWP2,12.053
CRP1,CWP3,11.931
CRP1,CWP4,11.665
CRP1,CBP0,10.826
CRP1,CBP1,10.214
CRP1,CBP2,11.467
CRP1,CBP3,12.112
CRP1,CBP4,11.632
CRP2,CRP0,6.845
CRP2,CRP1,4.421
CRP2,CRP2,20.378
CRP2,CRP3,2.467
CRP2,CRP4,2.258
CRP2,CYP0,11.695
CRP2,CYP1,12.022
CRP2,CYP2,11.176
CRP2,CYP3,13.335
CRP2,CYP4,11.882
CRP2,CGP0,11.427
CRP2,CGP1,12.340
CRP2,CGP2,10.846
CRP2,CGP3,12.922
CRP2,CGP4,11.565
CRP2,CWP0,11.686
CRP2,CWP1,12.013
CRP2,CWP2,10.520
CRP2,CWP3,12.739
CRP2,CWP4,11.764
CRP2,CBP0,10.979
CRP2,CBP1,11.935
CRP2,CBP2,10.781
CRP2,CBP3,12.465
CRP2,CBP4,11.646
CRP3,CRP0,4.535
CRP3,CRP1,3.328
CRP3,CRP2,2.105
CRP3,CRP3,20.377
CRP3,CRP4,1.063
CRP3,CYP0,12.179
CRP3,CYP1,12.760
CRP3,CYP2,12.982
CRP3,CYP3,11.650
CRP3,CYP4,12.002
CRP3,CGP0,12.607
CRP3,CGP1,12.787
CRP3,CGP2,13.216
CRP3,CGP3,12.023
CRP3,CGP4,12.760
CRP3,CWP0,11.831
CRP3,CWP1,12.255
CRP3,CWP2,12.399
CRP3,CWP3,10.979
CRP3,CWP4,12.072
CRP3,CBP0,11.681
CRP3,CBP1,12.448
CRP3,CBP2,13.112
CRP3,CBP3,11.077
CRP3,CBP4,11.913
CRP4,CRP0,3.669
CRP4,CRP1,2.158
CRP4,CRP2,2.164
CRP4,CRP3,1.245
CRP4,CRP4,21.566
CRP4,CYP0,11.265
CRP4,CYP1,11.944
CRP4,CYP2,12.188
CRP4,CYP3,12.619
CRP4,CYP4,11.487
CRP4,CGP0,11.326
CRP4,CGP1,11.982
CRP4,CGP2,12.225
CRP4,CGP3,13.074
CRP4,CGP4,11.507
CRP4,CWP0,11.216
CRP4,CWP1,11.454
CRP4,CWP2,12.170
CRP4,CWP3,12.190
CRP4,CWP4,10.968
CRP4,CBP0,10.460
CRP4,CBP1,11.450
CRP4,CBP2,11.586
CRP4,CBP3,12.182
CRP4,CBP4,10.844
CYP0,CRP0,10.037
CYP0,CRP1,11.039
CYP0,CRP2,11.327
CYP0,CRP3,12.273
CYP0,CRP4,11.298
CYP0,CYP0,18.671
CYP0,CYP1,8.174
CYP0,CYP2,6.336
CYP0,CYP3,5.179
CYP0,CYP4,3.831
CYP0,CGP0,10.793
CYP0,CGP1,11.923
CYP0,CGP2,12.102
CYP0,CGP3,12.373
CYP0,CGP4,11.701
CYP0,CWP0,10.065
CYP0,CWP1,11.626
CYP0,CWP2,11.513
CYP0,CWP3,11.979
CYP0,CWP4,11.157
CYP0,CBP0,10.476
CYP0,CBP1,10.607
CYP0,CBP2,11.139
CYP0,CBP3,11.681
CYP0,CBP4,10.973
CYP1,CRP0,11.391
CYP1,CRP1,10.202
CYP1,CRP2,11.866
CYP1,CRP3,12.285
CYP1,CRP4,11.943
CYP1,CYP0,8.006
CYP1,CYP1,19.592
CYP1,CYP2,4.490
CYP1,CYP3,3.797
CYP1,CYP4,2.255
CYP1,CGP0,11.632
CYP1,CGP1,11.219
CYP1,CGP2,12.423
CYP1,CGP3,12.752
CYP1,CGP4,12.012
CYP1,CWP0,11.532
CYP1,CWP1,10.575
CYP1,CWP2,11.994
CYP1,CWP3,11.899
CYP1,CWP4,11.480
CYP1,CBP0,10.910
CYP1,CBP1,10.259
CYP1,CBP2,11.664
CYP1,CBP3,12.375
CYP1,CBP4,11.788
CYP2,CRP0,11.815
CYP2,CRP1,11.604
CYP2,CRP2,10.833
CYP2,CRP3,12.704
CYP2,CRP4,11.669
CYP2,CYP0,6.665
CYP2,CYP1,4.527
CYP2,CYP2,20.278
CYP2,CYP3,2.182
CYP2,CYP4,1.889
CYP2,CGP0,12.085
CYP2,CGP1,12.214
CYP2,CGP2,10.985
CYP2,CGP3,12.990
CYP2,CGP4,12.439
CYP2,CWP0,11.464
CYP2,CWP1,11.803
CYP2,CWP2,10.803
CYP2,CWP3,12.258
CYP2,CWP4,12.082
CYP2,CBP0,11.596
CYP2,CBP1,11.616
CYP2,CBP2,10.676
CYP2,CBP3,12.656
CYP2,CBP4,12.022
CYP3,CRP0,11.842
CYP3,CRP1,12.258
CYP3,CRP2,12.821
CYP3,CRP3,12.024
CYP3,CRP4,12.455
CYP3,CYP0,4.368
CYP3,CYP1,3.806
CYP3,CYP2,2.200
CYP3,CYP3,20.505
CYP3,CYP4,1.162
CYP3,CGP0,12.649
CYP3,CGP1,13.319
CYP3,CGP2,13.487
CYP3,CGP3,12.986
CYP3,CGP4,13.381
CYP3,CWP0,12.594
CYP3,CWP1,12.546
CYP3,CWP2,13.441
